question_temp_key (필수)	term_title (표시용)	term_id (선택)	term_category (표시용)	term_category_id (선택)	question_type (필수)	difficulty (필수)	question_text (필수)	explanation (선택)	text_answer (TEXT일 때 필수)	choice_1_text	choice_1_is_answer	choice_2_text	choice_2_is_answer	choice_3_text	choice_3_is_answer	choice_4_text	choice_4_is_answer	label_1_key (선택)	label_2_key (선택)	label_3_key (선택)	label_4_key (선택)
Q001	JSX		Frontend - Framework	14	CHOICE	EASY	JSX에 대한 설명으로 가장 올바른 것은?	JSX는 JavaScript 안에서 UI 구조를 표현하기 위한 문법 확장입니다. 브라우저가 JSX를 그대로 실행하는 것이 아니라 빌드 단계에서 JavaScript 코드로 변환됩니다. 면접에서는 JSX가 HTML이 아니라는 점과 변환 과정을 알고 있는지 자주 봅니다.		JSX는 브라우저가 그대로 해석하는 HTML이다	FALSE	JSX는 UI를 표현하는 JavaScript 문법 확장이며 빌드 과정에서 변환된다	TRUE	JSX는 CSS 문법을 확장한 것이다	FALSE	JSX는 React 없이도 기본적으로 동작하는 표준 문법이다	FALSE	frontend	react		
Q002	컴포넌트(Component)		Frontend - Framework	14	CHOICE	EASY	React 컴포넌트에 대한 설명으로 가장 적절한 것은?	컴포넌트는 UI를 재사용 가능한 단위로 나눈 것입니다. 함수 컴포넌트는 보통 JSX를 반환하고, props를 입력으로 받아 화면을 구성합니다. 실무에서는 작은 단위로 쪼개고 조합하는 설계가 유지보수에 중요합니다.		컴포넌트는 데이터베이스 테이블을 의미한다	FALSE	컴포넌트는 UI를 구성하는 재사용 가능한 단위다	TRUE	컴포넌트는 반드시 클래스 문법으로만 만든다	FALSE	컴포넌트는 한 화면에 하나만 존재할 수 있다	FALSE	frontend	react		
Q003	프롭스(Props)		Frontend - Framework	14	CHOICE	EASY	props의 특징으로 가장 올바른 것은?	props는 부모에서 자식으로 전달되는 값입니다. 기본적으로 자식 컴포넌트에서 props를 직접 수정하면 안 되고, 변경이 필요하면 부모 상태를 바꾸는 방식으로 흐름을 설계합니다. 면접에서는 단방향 데이터 흐름을 설명할 수 있는지 봅니다.		props는 자식이 부모를 직접 수정하기 위한 기능이다	FALSE	props는 부모에서 자식으로 전달되는 읽기 전용 데이터다	TRUE	props는 컴포넌트 내부에서만 자동으로 생성된다	FALSE	props는 state와 완전히 동일한 개념이다	FALSE	frontend	react		
Q004	상태(State)		Frontend - Framework	14	CHOICE	EASY	React의 state에 대한 설명으로 가장 정확한 것은?	state는 컴포넌트 내부에서 관리되는 변경 가능한 데이터입니다. state가 바뀌면 보통 다시 렌더링이 일어나 화면이 업데이트됩니다. 실무에서는 state를 최소화하고, 변경은 setter로만 하는 습관이 중요합니다.		state는 변경되어도 화면에는 영향을 주지 않는다	FALSE	state는 컴포넌트 내부의 변경 가능한 데이터이며 변경 시 렌더링에 영향이 있다	TRUE	state는 부모 컴포넌트만 가질 수 있다	FALSE	state는 서버에서만 관리해야 한다	FALSE	frontend	react		
Q005	유즈스테이트(useState)		Frontend - Framework	14	CHOICE	EASY	useState 훅의 반환값으로 가장 올바른 것은?	useState는 보통 현재 상태 값과 그 값을 변경하는 함수 두 개를 반환합니다. 배열 구조 분해 할당으로 자주 받습니다. 면접에서는 state 업데이트 방식과 렌더링 흐름을 함께 묻는 경우가 많습니다.		상태 값 하나만 반환한다	FALSE	상태 값과 상태 변경 함수를 배열 형태로 반환한다	TRUE	상태 변경 함수만 반환한다	FALSE	컴포넌트 자체를 반환한다	FALSE	frontend	react		
Q006	리렌더링(Re-render)		Frontend - Framework	14	CHOICE	EASY	컴포넌트가 리렌더링되는 대표적인 경우로 가장 적절한 것은?	대표적으로 state가 변경되거나 props가 변경되면 리렌더링이 일어납니다. 실무에서는 불필요한 리렌더링을 줄이기 위해 state 위치와 props 전달 구조를 잘 잡는 것이 중요합니다.		컴포넌트 파일 이름을 변경하면 리렌더링된다	FALSE	state 또는 props가 변경되면 리렌더링될 수 있다	TRUE	HTML 파일을 직접 수정해야만 리렌더링된다	FALSE	콘솔 로그를 찍으면 리렌더링된다	FALSE	frontend	react		
Q007	이벤트 핸들링(Event Handling)		Frontend - Framework	14	CHOICE	EASY	onClick 같은 이벤트 핸들링에 대한 설명으로 가장 올바른 것은?	React 이벤트는 보통 camelCase로 작성합니다. 함수 호출 결과를 넣는 게 아니라 함수 자체를 전달해야 의도치 않은 즉시 실행을 막을 수 있습니다. 면접에서는 onClick에 함수를 넘기는 방식과 this 이슈를 구분하는지 봅니다.		onClick에는 문자열만 넣을 수 있다	FALSE	onClick에는 실행할 함수를 전달하는 것이 일반적이다	TRUE	onclick처럼 소문자로 작성해야만 동작한다	FALSE	onClick은 CSS 속성이다	FALSE	frontend	react		
Q008	조건부 렌더링(Conditional Rendering)		Frontend - Framework	14	CHOICE	EASY	조건부 렌더링 방법으로 가장 적절한 것은?	React에서는 조건에 따라 JSX를 다르게 반환하거나, && 또는 삼항 연산자를 활용해 부분적으로 렌더링합니다. 실무에서는 조건이 복잡해지면 컴포넌트를 분리하는 것이 가독성에 좋습니다.		if문은 React에서 절대 사용할 수 없다	FALSE	조건에 따라 JSX를 다르게 반환하거나 && 또는 삼항 연산자를 사용할 수 있다	TRUE	조건부 렌더링은 CSS로만 가능하다	FALSE	조건부 렌더링은 서버에서만 처리해야 한다	FALSE	frontend	react		
Q009	리스트 렌더링(List Rendering)		Frontend - Framework	14	CHOICE	EASY	배열을 렌더링할 때 map을 사용하는 이유로 가장 적절한 것은?	map은 배열 요소를 JSX로 변환해 새로운 배열을 만들기 좋습니다. React에서는 배열 렌더링 시 key를 함께 주는 것이 중요합니다. 면접에서는 map과 key의 역할을 같이 물어보는 경우가 많습니다.		map은 배열을 문자열로 바꾸는 함수다	FALSE	map은 각 요소를 JSX로 변환해 리스트 UI를 만들기에 적합하다	TRUE	map은 비동기 통신 전용 함수다	FALSE	map은 state를 직접 변경하는 함수다	FALSE	frontend	react		
Q010	키(Key)		Frontend - Framework	14	CHOICE	EASY	리스트 렌더링에서 key의 역할로 가장 올바른 것은?	key는 React가 각 항목을 구분하고 변경을 효율적으로 반영하는 데 사용됩니다. 안정적이고 고유한 값을 쓰는 것이 좋고, index를 key로 쓰는 것은 순서가 바뀌는 리스트에서 문제가 될 수 있습니다. 실무에서도 자주 실수하는 포인트입니다.		key는 CSS 클래스를 지정하기 위한 값이다	FALSE	key는 리스트 항목을 식별해 효율적인 업데이트를 돕는다	TRUE	key는 반드시 랜덤 값이어야 한다	FALSE	key는 서버 요청을 캐시하는 옵션이다	FALSE	frontend	react		
Q011	제어 컴포넌트(Controlled Component)		Frontend - Framework	14	CHOICE	EASY	제어 컴포넌트의 특징으로 가장 적절한 것은?	입력값을 state로 관리하고 value와 onChange를 연결하는 패턴입니다. 폼 상태를 한 곳에서 관리할 수 있어 검증이나 제출 로직이 깔끔해집니다. 면접에서는 uncontrolled과의 차이를 간단히 설명하는지 봅니다.		input의 값을 DOM이 아니라 state로 관리한다	TRUE	input의 값을 절대 state로 관리하면 안 된다	FALSE	제어 컴포넌트는 클래스 컴포넌트에서만 가능하다	FALSE	제어 컴포넌트는 서버 렌더링에서만 사용한다	FALSE	frontend	react		
Q012	프래그먼트(Fragment)		Frontend - Framework	14	CHOICE	EASY	React Fragment를 사용하는 이유로 가장 올바른 것은?	불필요한 div를 추가하지 않고 여러 요소를 그룹핑할 때 사용합니다. DOM 구조를 깔끔하게 유지하는 데 도움이 됩니다. 실무에서는 레이아웃 깨짐을 줄이고 스타일링 복잡도를 낮추는 데도 유리합니다.		여러 요소를 반환할 때 불필요한 래퍼 요소 없이 그룹핑하기 위해 사용한다	TRUE	컴포넌트 상태를 저장하기 위해 사용한다	FALSE	네트워크 요청을 보내기 위해 사용한다	FALSE	라우팅을 설정하기 위해 사용한다	FALSE	frontend	react		
Q013	유즈이펙트(useEffect)		Frontend - Framework	14	CHOICE	EASY	useEffect에 대한 설명으로 가장 적절한 것은?	useEffect는 렌더링 이후에 특정 작업을 수행하도록 돕는 훅입니다. 예를 들어 데이터 요청, 구독 설정, 타이머 설정 같은 사이드 이펙트를 처리합니다. 면접에서는 dependency 배열의 의미를 기본으로 묻습니다.		useEffect는 오직 이벤트 핸들러에서만 실행된다	FALSE	useEffect는 렌더링 이후 사이드 이펙트를 처리하는 데 사용한다	TRUE	useEffect는 state를 선언하는 훅이다	FALSE	useEffect는 CSS를 적용하는 훅이다	FALSE	frontend	react		
Q014	의존성 배열(Dependency Array)		Frontend - Framework	14	CHOICE	EASY	useEffect의 의존성 배열이 빈 배열일 때 가장 가까운 동작은?	빈 배열은 마운트 시 1회 실행에 가까운 패턴입니다. 단, 개발 모드의 StrictMode에서는 의도적으로 두 번 호출처럼 보일 수 있어 헷갈릴 수 있습니다. 면접에서는 기본 동작을 정확히 말하는 것이 중요합니다.		매 렌더링마다 실행된다	FALSE	컴포넌트가 처음 화면에 붙을 때 1회 실행에 가깝다	TRUE	절대 실행되지 않는다	FALSE	언마운트 될 때만 실행된다	FALSE	frontend	react		
Q015	정리 함수(Cleanup Function)		Frontend - Framework	14	CHOICE	EASY	useEffect에서 cleanup 함수의 목적은 무엇에 가장 가깝나?	이벤트 리스너 제거, 타이머 정리, 구독 해제처럼 자원을 정리하는 데 쓰입니다. 누수나 중복 등록을 막는 실무 포인트라서 면접에서도 자주 나옵니다.		화면에 HTML을 추가하기 위해 사용한다	FALSE	이전 effect가 남긴 구독이나 타이머 등을 정리하기 위해 사용한다	TRUE	state를 초기화하기 위해 강제로 호출해야 한다	FALSE	props를 변경하기 위해 사용한다	FALSE	frontend	react		
Q016	상태 끌어올리기(Lifting State Up)		Frontend - Framework	14	CHOICE	EASY	상태 끌어올리기에 대한 설명으로 가장 올바른 것은?	형제 컴포넌트가 같은 데이터를 공유해야 할 때 공통 부모로 state를 올려서 props로 내려주는 패턴입니다. 데이터 흐름이 예측 가능해지고 디버깅이 쉬워집니다. 면접에서는 왜 필요한지와 언제 쓰는지 설명이 핵심입니다.		자식 state를 부모가 직접 수정하는 기술이다	FALSE	공유가 필요한 state를 공통 부모로 이동해 props로 전달하는 패턴이다	TRUE	상태를 서버로만 이동하는 것을 의미한다	FALSE	상태 끌어올리기는 React에서 금지된 패턴이다	FALSE	frontend	react		
Q017	컨텍스트 API(Context API)		Frontend - Framework	14	CHOICE	EASY	Context API를 사용하는 대표적인 이유로 가장 적절한 것은?	깊은 트리에서 props를 여러 단계 전달하는 prop drilling을 줄이는 데 도움됩니다. 전역에 가까운 값 예를 들어 테마, 언어, 로그인 정보 등에 자주 씁니다. 실무에서는 무분별한 전역화는 오히려 복잡도를 올릴 수 있어 주의합니다.		prop을 더 많이 전달하기 위해 사용한다	FALSE	여러 단계 props 전달을 줄이고 공통 값을 공유하기 위해 사용한다	TRUE	컴포넌트를 자동으로 테스트하기 위해 사용한다	FALSE	브라우저 캐시를 비우기 위해 사용한다	FALSE	frontend	react		
Q018	가상 DOM(Virtual DOM)		Frontend - Framework	14	CHOICE	EASY	Virtual DOM에 대한 설명으로 가장 올바른 것은?	Virtual DOM은 변경 사항을 계산해 실제 DOM 업데이트를 효율적으로 하도록 돕는 개념입니다. 매번 DOM을 직접 만지는 것보다 변경 범위를 줄일 수 있습니다. 면접에서는 diff와 재조정 과정을 큰 흐름으로 설명할 수 있으면 좋습니다.		실제 DOM을 완전히 대체하는 브라우저 기능이다	FALSE	변경 사항을 계산해 실제 DOM 업데이트를 효율화하는 개념이다	TRUE	Virtual DOM은 데이터베이스에 저장된다	FALSE	Virtual DOM은 CSS 프레임워크의 한 종류다	FALSE	frontend	react		
